Model,Üretim Yılı,Motor Sayısı,Motor Türü,Kapasite,Menzil (km),Yakıt Tüketimi (L/saat),Saatlik Bakım Maliyeti ($),Yaş,Satış Bölgesi,Fiyat ($)
Bombardier CRJ200,1992,2,Turbofan,50,3000,13.45,825.61,31,Avrupa,12771065.0
Boeing 737,1991,2,Turbofan,162,5700,10.82,4711.97,32,Afrika,53886470.31
Cessna 172,2011,1,Piston,4,1285,37.58,2364.93,12,Avustralya,283301.89
Boeing 777,2009,2,Turbofan,396,15600,11.76,4985.07,14,Avrupa,521251637.03
Airbus A350,2005,2,Turbofan,350,14800,6.62,3401.24,18,Asya,550367867.15
Cessna 172,2004,1,Piston,4,1285,43.63,2918.21,19,Avustralya,273475.15
Boeing 777,2005,2,Turbofan,396,15600,6.77,650.42,18,Güney Amerika,493107520.17
Bombardier CRJ200,2016,2,Turbofan,50,3000,14.4,825.69,7,Güney Amerika,17554370.95
Cessna 172,2013,1,Piston,4,1285,46.89,1504.65,10,Avustralya,350957.7
Bombardier CRJ200,1982,2,Turbofan,50,3000,14.1,2993.26,41,Güney Amerika,12026296.8
Boeing 737,2008,2,Turbofan,162,5700,11.73,524.07,15,Afrika,87398096.5
Boeing 737,1995,2,Turbofan,162,5700,9.05,4701.56,28,Güney Amerika,57931157.99
Cessna 172,2005,1,Piston,4,1285,15.65,2873.55,18,Avustralya,279912.4
Boeing 737,2015,2,Turbofan,162,5700,4.71,4615.77,8,Afrika,98956881.46
Cessna 172,2020,1,Piston,4,1285,13.15,3493.73,3,Asya,356222.46
Airbus A320,1998,2,Turbofan,180,6300,5.92,3811.79,25,Afrika,81102881.98
Airbus A350,1999,2,Turbofan,350,14800,9.79,2585.26,24,Kuzey Amerika,407894177.77
Airbus A350,1990,2,Turbofan,350,14800,10.61,1861.88,33,Afrika,345258699.76
Boeing 777,2019,2,Turbofan,396,15600,10.95,1212.27,4,Asya,716406741.87
Bombardier CRJ200,2013,2,Turbofan,50,3000,11.73,1612.43,10,Avrupa,17328059.17
Airbus A350,2021,2,Turbofan,350,14800,13.46,1679.16,2,Afrika,706664649.06
Boeing 737,2012,2,Turbofan,162,5700,3.14,3262.31,11,Asya,100459912.68
Airbus A320,2017,2,Turbofan,180,6300,11.27,2261.92,6,Avustralya,154076126.84
Cessna 172,1988,1,Piston,4,1285,25.12,1771.43,35,Afrika,245715.96
Airbus A350,2000,2,Turbofan,350,14800,11.35,963.26,23,Afrika,477238695.53
Boeing 737,1991,2,Turbofan,162,5700,6.22,1620.25,32,Afrika,63680612.69
Cessna 172,1992,1,Piston,4,1285,11.03,2003.97,31,Afrika,236992.82
Boeing 737,1996,2,Turbofan,162,5700,8.74,4537.84,27,Kuzey Amerika,59835007.21
Bombardier CRJ200,2021,2,Turbofan,50,3000,2.4,2549.76,2,Avustralya,23145587.8
Airbus A320,1987,2,Turbofan,180,6300,14.01,2038.71,36,Asya,83715438.95
Boeing 737,2008,2,Turbofan,162,5700,9.56,609.76,15,Avustralya,75715972.22
Boeing 777,1985,2,Turbofan,396,15600,10.48,2429.99,38,Güney Amerika,407822515.5
Bombardier CRJ200,2004,2,Turbofan,50,3000,2.01,3772.09,19,Avustralya,13815542.62
Cessna 172,2019,1,Piston,4,1285,14.92,670.19,4,Avrupa,358972.64
Airbus A350,2015,2,Turbofan,350,14800,6.1,4938.57,8,Afrika,670814335.8
Boeing 737,1990,2,Turbofan,162,5700,2.27,1656.29,33,Kuzey Amerika,66305801.36
Cessna 172,2022,1,Piston,4,1285,12.26,1503.91,1,Avrupa,412214.32
Airbus A320,1989,2,Turbofan,180,6300,8.71,1534.63,34,Avrupa,71167174.6
Bombardier CRJ200,1983,2,Turbofan,50,3000,14.23,1640.72,40,Afrika,12248187.58
Boeing 777,1999,2,Turbofan,396,15600,6.95,2094.91,24,Avustralya,449520173.71
Airbus A350,1998,2,Turbofan,350,14800,11.46,2353.34,25,Avustralya,414609712.62
Airbus A320,1987,2,Turbofan,180,6300,6.37,4748.43,36,Avrupa,77154111.21
Airbus A320,1980,2,Turbofan,180,6300,3.24,3023.13,43,Güney Amerika,75371466.52
Boeing 777,1980,2,Turbofan,396,15600,13.4,1427.91,43,Afrika,345080516.04
Airbus A350,2011,2,Turbofan,350,14800,7.92,1212.29,12,Güney Amerika,655981781.48
Boeing 737,2018,2,Turbofan,162,5700,13.3,2223.81,5,Afrika,124241992.41
Airbus A320,1993,2,Turbofan,180,6300,7.71,3057.44,30,Güney Amerika,77882084.73
Bombardier CRJ200,2010,2,Turbofan,50,3000,9.99,4193.31,13,Afrika,16532819.88
Airbus A350,2008,2,Turbofan,350,14800,8.42,4244.73,15,Asya,577693724.53
Cessna 172,2018,1,Piston,4,1285,21.83,4056.17,5,Asya,343258.17
Airbus A320,2015,2,Turbofan,180,6300,7.47,2730.44,8,Kuzey Amerika,112809874.94
Cessna 172,2020,1,Piston,4,1285,17.87,1113.67,3,Güney Amerika,382612.67
Airbus A320,1983,2,Turbofan,180,6300,4.58,749.0,40,Avrupa,74033283.89
Airbus A320,1983,2,Turbofan,180,6300,2.11,2110.29,40,Avustralya,69763539.1
Boeing 777,1982,2,Turbofan,396,15600,2.42,4276.44,41,Avrupa,488702791.5
Boeing 737,2022,2,Turbofan,162,5700,7.03,3442.0,1,Güney Amerika,147608751.55
Cessna 172,1999,1,Piston,4,1285,11.79,3412.5,24,Kuzey Amerika,220843.2
Boeing 737,1983,2,Turbofan,162,5700,13.54,2973.3,40,Asya,59272978.27
Airbus A350,1991,2,Turbofan,350,14800,12.69,970.97,32,Avrupa,354573704.2
Bombardier CRJ200,1998,2,Turbofan,50,3000,7.2,1924.71,25,Güney Amerika,10499708.25
Bombardier CRJ200,2018,2,Turbofan,50,3000,8.55,1177.23,5,Güney Amerika,21157804.23
Cessna 172,1991,1,Piston,4,1285,43.95,2707.76,32,Afrika,242980.67
Bombardier CRJ200,2017,2,Turbofan,50,3000,8.38,3677.26,6,Kuzey Amerika,22358710.91
Boeing 737,1985,2,Turbofan,162,5700,4.87,3096.59,38,Kuzey Amerika,61379474.22
Boeing 777,2003,2,Turbofan,396,15600,12.44,1711.04,20,Afrika,490990154.92
Boeing 737,2007,2,Turbofan,162,5700,8.4,2276.49,16,Güney Amerika,83167398.46
Boeing 737,1998,2,Turbofan,162,5700,7.37,4462.93,25,Afrika,59452861.75
Airbus A320,1987,2,Turbofan,180,6300,5.18,510.56,36,Avustralya,78772451.09
Boeing 777,2001,2,Turbofan,396,15600,3.58,3562.62,22,Güney Amerika,435648923.8
Airbus A350,2013,2,Turbofan,350,14800,11.26,3415.27,10,Avrupa,539755180.31
Bombardier CRJ200,1993,2,Turbofan,50,3000,3.03,1303.03,30,Güney Amerika,11344575.08
Boeing 737,1986,2,Turbofan,162,5700,12.0,4198.11,37,Güney Amerika,66618675.92
Bombardier CRJ200,2020,2,Turbofan,50,3000,6.38,3185.25,3,Güney Amerika,21407726.38
Boeing 737,2010,2,Turbofan,162,5700,9.61,2793.91,13,Avustralya,90559658.99
Bombardier CRJ200,2018,2,Turbofan,50,3000,8.18,2117.03,5,Avustralya,24755652.35
Boeing 777,2007,2,Turbofan,396,15600,4.13,4555.67,16,Güney Amerika,467973070.96
Boeing 777,1996,2,Turbofan,396,15600,3.83,2216.34,27,Güney Amerika,453894613.33
Cessna 172,2019,1,Piston,4,1285,21.15,4693.61,4,Kuzey Amerika,423615.19
Airbus A320,2019,2,Turbofan,180,6300,2.82,4775.95,4,Güney Amerika,135527365.09
Airbus A350,2013,2,Turbofan,350,14800,8.89,4521.98,10,Avustralya,604025659.67
Bombardier CRJ200,2011,2,Turbofan,50,3000,12.81,3512.07,12,Afrika,17688947.29
Airbus A320,2019,2,Turbofan,180,6300,8.09,1080.41,4,Avrupa,154879851.9
Bombardier CRJ200,1998,2,Turbofan,50,3000,2.4,3192.38,25,Avrupa,13174085.56
Boeing 737,1987,2,Turbofan,162,5700,10.28,4921.94,36,Asya,62295060.27
Airbus A350,2020,2,Turbofan,350,14800,13.78,1227.37,3,Asya,615316549.19
Bombardier CRJ200,1993,2,Turbofan,50,3000,11.85,4647.77,30,Güney Amerika,12143515.58
Airbus A350,2006,2,Turbofan,350,14800,11.22,3792.67,17,Asya,462254824.38
Boeing 777,2002,2,Turbofan,396,15600,4.86,3597.32,21,Güney Amerika,432777578.16
Bombardier CRJ200,1993,2,Turbofan,50,3000,12.17,2474.02,30,Asya,11783472.59
Bombardier CRJ200,1992,2,Turbofan,50,3000,12.9,4064.85,31,Avustralya,13846139.94
Boeing 777,1996,2,Turbofan,396,15600,4.97,3446.49,27,Asya,360640123.04
Boeing 777,1999,2,Turbofan,396,15600,5.55,1025.62,24,Güney Amerika,366594108.12
Cessna 172,2000,1,Piston,4,1285,28.21,1442.84,23,Asya,252926.75
Boeing 737,2023,2,Turbofan,162,5700,13.99,930.89,0,Kuzey Amerika,141231982.43
Boeing 777,2005,2,Turbofan,396,15600,6.73,3058.12,18,Avustralya,467655344.5
Cessna 172,2019,1,Piston,4,1285,11.59,3620.79,4,Asya,426907.76
Airbus A320,1992,2,Turbofan,180,6300,7.83,4277.34,31,Kuzey Amerika,68647332.97
Boeing 777,2023,2,Turbofan,396,15600,12.04,3546.83,0,Afrika,843494729.63
Airbus A350,1982,2,Turbofan,350,14800,10.03,2629.46,41,Avustralya,407958538.1
Airbus A320,2010,2,Turbofan,180,6300,12.94,2740.41,13,Avrupa,114743681.85
Bombardier CRJ200,2009,2,Turbofan,50,3000,7.34,4106.08,14,Güney Amerika,16533272.1
Boeing 777,2009,2,Turbofan,396,15600,4.96,4217.98,14,Afrika,491635492.21
Bombardier CRJ200,1983,2,Turbofan,50,3000,12.48,2859.96,40,Güney Amerika,13666722.96
Boeing 777,2016,2,Turbofan,396,15600,3.42,1605.34,7,Avustralya,590961681.25
Bombardier CRJ200,2000,2,Turbofan,50,3000,3.29,4074.73,23,Güney Amerika,13942016.98
Cessna 172,1981,1,Piston,4,1285,48.92,2059.11,42,Avrupa,204195.82
Cessna 172,2023,1,Piston,4,1285,20.73,4908.8,0,Kuzey Amerika,387830.01
Boeing 777,1984,2,Turbofan,396,15600,2.41,3683.85,39,Avrupa,393061630.68
Boeing 777,1981,2,Turbofan,396,15600,3.8,4415.89,42,Kuzey Amerika,391869172.92
Airbus A350,2020,2,Turbofan,350,14800,11.01,4821.2,3,Güney Amerika,688400122.98
Airbus A320,2016,2,Turbofan,180,6300,7.17,4106.17,7,Güney Amerika,119018324.66
Airbus A350,1991,2,Turbofan,350,14800,9.17,2662.92,32,Güney Amerika,345473593.26
Boeing 737,1999,2,Turbofan,162,5700,5.34,3342.99,24,Avustralya,52289514.71
Boeing 777,1982,2,Turbofan,396,15600,9.42,2521.06,41,Kuzey Amerika,388226761.07
Airbus A350,1985,2,Turbofan,350,14800,7.39,2460.15,38,Afrika,405763909.02
Airbus A320,2003,2,Turbofan,180,6300,5.25,4249.72,20,Afrika,104609635.18
Boeing 777,1993,2,Turbofan,396,15600,9.61,3242.88,30,Güney Amerika,387786982.18
Boeing 777,1991,2,Turbofan,396,15600,3.84,1912.02,32,Asya,306078703.33
Boeing 777,1982,2,Turbofan,396,15600,3.37,1462.11,41,Avrupa,442065900.94
Boeing 737,2008,2,Turbofan,162,5700,11.49,4777.73,15,Güney Amerika,100166097.85
Boeing 737,2010,2,Turbofan,162,5700,13.5,734.21,13,Güney Amerika,92308027.3
Airbus A320,1992,2,Turbofan,180,6300,14.69,3136.38,31,Kuzey Amerika,86968670.86
Airbus A350,2013,2,Turbofan,350,14800,13.77,2895.37,10,Kuzey Amerika,718291528.82
Boeing 777,1989,2,Turbofan,396,15600,14.85,4173.03,34,Asya,340392333.76
Cessna 172,2023,1,Piston,4,1285,11.9,2249.83,0,Avrupa,446185.13
Airbus A320,1982,2,Turbofan,180,6300,8.43,1393.44,41,Afrika,88296696.15
Airbus A350,2013,2,Turbofan,350,14800,12.02,3840.4,10,Asya,480028636.87
Boeing 737,1999,2,Turbofan,162,5700,10.62,4881.84,24,Asya,65973007.44
Bombardier CRJ200,2018,2,Turbofan,50,3000,5.65,2337.07,5,Asya,19772744.8
Boeing 777,2009,2,Turbofan,396,15600,8.89,1272.69,14,Asya,618848079.28
Boeing 737,2013,2,Turbofan,162,5700,10.18,1804.94,10,Avustralya,104887388.86
Bombardier CRJ200,1999,2,Turbofan,50,3000,2.0,1774.83,24,Asya,11535765.4
Cessna 172,1999,1,Piston,4,1285,47.34,1071.21,24,Avustralya,214122.3
Airbus A320,2000,2,Turbofan,180,6300,9.91,4002.67,23,Avrupa,88897347.12
Airbus A320,1998,2,Turbofan,180,6300,6.86,4869.07,25,Kuzey Amerika,74930703.13
Cessna 172,2000,1,Piston,4,1285,48.55,2283.11,23,Afrika,234997.79
Bombardier CRJ200,1987,2,Turbofan,50,3000,5.74,2925.41,36,Kuzey Amerika,12515207.98
Airbus A320,1990,2,Turbofan,180,6300,6.86,3401.85,33,Kuzey Amerika,73030952.82
Boeing 737,1980,2,Turbofan,162,5700,2.29,4779.24,43,Güney Amerika,66578424.7
Cessna 172,2012,1,Piston,4,1285,20.09,1944.21,11,Asya,325737.21
Airbus A320,2014,2,Turbofan,180,6300,12.71,2903.99,9,Kuzey Amerika,121436100.83
Cessna 172,2000,1,Piston,4,1285,25.4,3704.04,23,Kuzey Amerika,242561.01
Airbus A320,1998,2,Turbofan,180,6300,12.18,2310.33,25,Güney Amerika,73434536.51
Airbus A320,1990,2,Turbofan,180,6300,6.72,2193.4,33,Asya,57844935.71
Boeing 777,2019,2,Turbofan,396,15600,10.91,735.21,4,Kuzey Amerika,633130833.08
Cessna 172,2008,1,Piston,4,1285,42.1,4172.15,15,Asya,290770.04
Airbus A320,1981,2,Turbofan,180,6300,5.88,2688.76,42,Afrika,67520874.09
Bombardier CRJ200,1983,2,Turbofan,50,3000,11.5,1562.04,40,Asya,13163837.4
Airbus A350,1983,2,Turbofan,350,14800,3.23,681.46,40,Asya,343795373.14
Airbus A350,2005,2,Turbofan,350,14800,14.17,1584.48,18,Avrupa,454582741.27
Bombardier CRJ200,2018,2,Turbofan,50,3000,6.74,2840.72,5,Güney Amerika,21141972.38
Bombardier CRJ200,2008,2,Turbofan,50,3000,4.69,2007.54,15,Güney Amerika,18545080.98
Boeing 777,1999,2,Turbofan,396,15600,6.12,2200.09,24,Kuzey Amerika,364610963.85
Airbus A320,2022,2,Turbofan,180,6300,2.86,3097.4,1,Güney Amerika,168884153.43
Boeing 737,2009,2,Turbofan,162,5700,7.3,1360.8,14,Güney Amerika,89844041.01
Airbus A320,1985,2,Turbofan,180,6300,5.32,3488.33,38,Avustralya,83055474.63
Airbus A350,1986,2,Turbofan,350,14800,2.76,1071.65,37,Afrika,340679988.05
Boeing 777,2023,2,Turbofan,396,15600,11.89,1283.05,0,Avustralya,756756572.86
Bombardier CRJ200,2009,2,Turbofan,50,3000,9.25,571.27,14,Afrika,17612945.09
Airbus A320,1994,2,Turbofan,180,6300,6.07,3032.74,29,Avrupa,59705176.01
Cessna 172,1996,1,Piston,4,1285,39.34,1827.99,27,Kuzey Amerika,208486.48
Airbus A350,1991,2,Turbofan,350,14800,13.67,939.28,32,Avustralya,383289384.07
Bombardier CRJ200,2001,2,Turbofan,50,3000,9.17,2074.53,22,Kuzey Amerika,12325719.17
Airbus A350,2011,2,Turbofan,350,14800,8.83,3151.99,12,Asya,547099711.82
Boeing 737,2010,2,Turbofan,162,5700,7.87,1413.47,13,Asya,97698510.59
Boeing 777,2010,2,Turbofan,396,15600,9.12,936.13,13,Afrika,666149563.29
Airbus A320,1998,2,Turbofan,180,6300,12.31,3662.32,25,Kuzey Amerika,70320393.29
Cessna 172,2016,1,Piston,4,1285,37.09,3695.78,7,Avrupa,381586.33
Cessna 172,1986,1,Piston,4,1285,26.47,609.92,37,Afrika,239928.41
Bombardier CRJ200,1986,2,Turbofan,50,3000,9.68,1472.61,37,Kuzey Amerika,10613731.19
Cessna 172,2021,1,Piston,4,1285,41.91,4609.43,2,Asya,454019.79
Boeing 777,2014,2,Turbofan,396,15600,14.75,1633.17,9,Afrika,635207105.42
Airbus A350,2017,2,Turbofan,350,14800,12.32,3261.69,6,Afrika,575122226.84
Airbus A320,2019,2,Turbofan,180,6300,11.05,3251.73,4,Avrupa,164724811.36
Cessna 172,1990,1,Piston,4,1285,14.32,2041.14,33,Afrika,216809.2
Airbus A350,1984,2,Turbofan,350,14800,11.65,2842.95,39,Kuzey Amerika,346116200.71
Airbus A320,2017,2,Turbofan,180,6300,7.49,2793.81,6,Afrika,133113479.92
Airbus A350,2016,2,Turbofan,350,14800,14.69,2010.01,7,Kuzey Amerika,635586200.38
Cessna 172,1995,1,Piston,4,1285,23.18,4431.0,28,Avrupa,237629.28
Bombardier CRJ200,2022,2,Turbofan,50,3000,2.23,2485.73,1,Asya,24336901.92
Bombardier CRJ200,2016,2,Turbofan,50,3000,8.64,835.3,7,Afrika,21971376.91
Boeing 737,2017,2,Turbofan,162,5700,10.38,3279.63,6,Güney Amerika,116827288.05
Airbus A350,2000,2,Turbofan,350,14800,12.77,627.52,23,Güney Amerika,374530706.77
Boeing 737,2008,2,Turbofan,162,5700,4.79,3689.05,15,Avrupa,96131442.3
Boeing 777,2005,2,Turbofan,396,15600,4.61,681.49,18,Asya,482612750.54
Cessna 172,1986,1,Piston,4,1285,30.34,2383.02,37,Avustralya,191834.34
Cessna 172,2004,1,Piston,4,1285,20.83,2645.39,19,Kuzey Amerika,267174.36
Airbus A350,2021,2,Turbofan,350,14800,5.88,2280.85,2,Avustralya,688447013.4
Boeing 737,1985,2,Turbofan,162,5700,11.71,4401.23,38,Avrupa,63356773.54
Airbus A320,2017,2,Turbofan,180,6300,11.05,1089.19,6,Avustralya,153869580.2
Boeing 737,1989,2,Turbofan,162,5700,7.74,1427.33,34,Avustralya,62773477.94
Airbus A320,2008,2,Turbofan,180,6300,10.05,3849.66,15,Güney Amerika,121905510.97
Boeing 777,2004,2,Turbofan,396,15600,7.61,4113.84,19,Güney Amerika,483470289.92
Cessna 172,2008,1,Piston,4,1285,29.45,4734.35,15,Avrupa,343209.13
Airbus A320,2023,2,Turbofan,180,6300,12.21,2581.79,0,Kuzey Amerika,160144329.34
Boeing 777,2016,2,Turbofan,396,15600,8.08,1309.09,7,Avustralya,771976480.49
Boeing 777,2007,2,Turbofan,396,15600,11.79,4856.33,16,Avustralya,656584398.45
Boeing 777,1985,2,Turbofan,396,15600,2.64,4235.15,38,Güney Amerika,378903866.85
Boeing 737,2019,2,Turbofan,162,5700,9.13,4335.97,4,Güney Amerika,109660760.53
Airbus A350,1988,2,Turbofan,350,14800,8.9,1768.68,35,Kuzey Amerika,334791914.61
Boeing 737,2003,2,Turbofan,162,5700,4.06,732.59,20,Güney Amerika,73959217.14
Boeing 737,1980,2,Turbofan,162,5700,7.89,1550.28,43,Avustralya,65014733.63
Cessna 172,2002,1,Piston,4,1285,40.54,2827.04,21,Asya,283370.97
Boeing 777,1981,2,Turbofan,396,15600,3.47,3282.56,42,Avrupa,387242257.96
Airbus A350,2017,2,Turbofan,350,14800,7.68,1203.49,6,Afrika,751588627.85
Bombardier CRJ200,2000,2,Turbofan,50,3000,7.05,3113.32,23,Avustralya,12229497.4
Airbus A350,2005,2,Turbofan,350,14800,4.95,1268.42,18,Afrika,392432905.27
Airbus A350,2014,2,Turbofan,350,14800,4.22,2817.17,9,Avrupa,716900783.52
Bombardier CRJ200,1991,2,Turbofan,50,3000,13.08,3483.08,32,Afrika,12002967.42
Airbus A320,1992,2,Turbofan,180,6300,6.33,4889.87,31,Güney Amerika,65026451.69
Airbus A350,2003,2,Turbofan,350,14800,3.17,3177.71,20,Afrika,411610452.64
Airbus A320,1998,2,Turbofan,180,6300,11.3,4816.56,25,Avustralya,79954392.01
Airbus A320,1988,2,Turbofan,180,6300,11.15,4046.72,35,Asya,68752404.33
Boeing 737,2021,2,Turbofan,162,5700,14.44,4362.68,2,Asya,148607194.48
Airbus A320,2011,2,Turbofan,180,6300,14.11,2745.66,12,Avustralya,132085797.94
Airbus A350,1988,2,Turbofan,350,14800,4.72,2545.17,35,Asya,460384534.27
Airbus A320,2021,2,Turbofan,180,6300,5.14,516.74,2,Afrika,114668654.11
Airbus A350,2018,2,Turbofan,350,14800,14.75,2518.18,5,Afrika,683080621.98
Cessna 172,1991,1,Piston,4,1285,28.09,2076.23,32,Afrika,221683.87
Cessna 172,2007,1,Piston,4,1285,15.99,3923.17,16,Güney Amerika,332933.76
Airbus A350,2004,2,Turbofan,350,14800,5.3,3073.23,19,Kuzey Amerika,443511082.69
Airbus A320,1991,2,Turbofan,180,6300,14.82,1025.95,32,Afrika,72386478.13
Cessna 172,1980,1,Piston,4,1285,15.21,1888.85,43,Güney Amerika,221874.05
Airbus A350,1995,2,Turbofan,350,14800,13.21,788.2,28,Avustralya,323462498.95
Cessna 172,1997,1,Piston,4,1285,19.87,4826.75,26,Afrika,205214.99
Cessna 172,2016,1,Piston,4,1285,26.56,3383.2,7,Kuzey Amerika,366042.04
Boeing 737,1982,2,Turbofan,162,5700,4.69,1715.26,41,Güney Amerika,57251409.65
Airbus A350,2003,2,Turbofan,350,14800,10.96,1308.47,20,Asya,527132257.36
Cessna 172,2010,1,Piston,4,1285,44.35,3042.83,13,Avustralya,324414.43
Boeing 737,1989,2,Turbofan,162,5700,3.5,3530.83,34,Avustralya,61273682.11
Bombardier CRJ200,2013,2,Turbofan,50,3000,7.74,3626.69,10,Kuzey Amerika,16867729.58
Airbus A350,2013,2,Turbofan,350,14800,6.29,4805.67,10,Asya,687216242.1
Cessna 172,2019,1,Piston,4,1285,46.06,4829.84,4,Asya,425971.22
Airbus A320,2010,2,Turbofan,180,6300,5.28,4980.22,13,Avustralya,108664801.17
Bombardier CRJ200,2022,2,Turbofan,50,3000,8.76,2465.5,1,Avustralya,21963000.77
Boeing 737,2023,2,Turbofan,162,5700,4.22,2496.2,0,Avustralya,115191295.67
Cessna 172,2017,1,Piston,4,1285,38.2,4429.64,6,Kuzey Amerika,385174.19
Cessna 172,1983,1,Piston,4,1285,48.25,3441.45,40,Kuzey Amerika,199475.44
Cessna 172,1980,1,Piston,4,1285,19.92,513.59,43,Afrika,233705.05
Airbus A350,2012,2,Turbofan,350,14800,8.68,911.67,11,Afrika,625939291.22
Cessna 172,2001,1,Piston,4,1285,17.25,1542.12,22,Afrika,231799.81
Boeing 777,1998,2,Turbofan,396,15600,14.2,2608.93,25,Kuzey Amerika,408237970.34
Airbus A320,1982,2,Turbofan,180,6300,14.71,1336.24,41,Avustralya,78487205.21
Cessna 172,1999,1,Piston,4,1285,22.64,1265.64,24,Avustralya,225434.43
Cessna 172,1996,1,Piston,4,1285,22.37,2410.22,27,Asya,223812.58
Bombardier CRJ200,2010,2,Turbofan,50,3000,9.75,501.85,13,Güney Amerika,16614826.97
Airbus A320,2016,2,Turbofan,180,6300,5.74,4621.74,7,Asya,141798549.5
Bombardier CRJ200,1998,2,Turbofan,50,3000,10.94,3706.71,25,Avustralya,10771464.08
Cessna 172,1981,1,Piston,4,1285,20.09,1936.93,42,Kuzey Amerika,239155.17
Airbus A350,1985,2,Turbofan,350,14800,7.52,2535.46,38,Avrupa,366848901.1
Cessna 172,1984,1,Piston,4,1285,27.06,1205.43,39,Kuzey Amerika,204866.48
Boeing 777,1988,2,Turbofan,396,15600,12.16,2498.51,35,Güney Amerika,398868811.26
Boeing 777,1997,2,Turbofan,396,15600,10.26,3560.21,26,Kuzey Amerika,454606198.58
Boeing 737,1987,2,Turbofan,162,5700,6.21,2936.01,36,Güney Amerika,65266769.82
Airbus A320,2017,2,Turbofan,180,6300,13.54,1113.13,6,Avustralya,152374113.12
Airbus A320,2022,2,Turbofan,180,6300,10.76,3136.33,1,Afrika,152342178.49
Boeing 777,1991,2,Turbofan,396,15600,10.57,4119.18,32,Kuzey Amerika,410834945.22
Bombardier CRJ200,1995,2,Turbofan,50,3000,6.86,4113.7,28,Afrika,9064931.32
Airbus A320,2013,2,Turbofan,180,6300,3.24,2246.55,10,Asya,112277478.13
Boeing 777,1985,2,Turbofan,396,15600,10.83,2325.29,38,Avrupa,468506137.25
Cessna 172,1989,1,Piston,4,1285,33.75,801.92,34,Afrika,226842.85
Airbus A350,2004,2,Turbofan,350,14800,13.67,1267.39,19,Avrupa,485203124.01
Bombardier CRJ200,2008,2,Turbofan,50,3000,13.46,3452.66,15,Avustralya,21867304.19
Bombardier CRJ200,1990,2,Turbofan,50,3000,13.7,4635.67,33,Avrupa,10833782.05
Cessna 172,2002,1,Piston,4,1285,20.98,2516.72,21,Asya,209024.19
Bombardier CRJ200,1996,2,Turbofan,50,3000,5.49,1790.9,27,Asya,10272851.81
Boeing 737,1990,2,Turbofan,162,5700,2.91,4374.78,33,Afrika,57401744.78
Airbus A350,2010,2,Turbofan,350,14800,2.8,2050.28,13,Kuzey Amerika,579583756.95
Airbus A350,2014,2,Turbofan,350,14800,11.99,1714.88,9,Avrupa,594445912.29
Airbus A350,2023,2,Turbofan,350,14800,8.11,2585.97,0,Avustralya,771868695.57
Airbus A350,2010,2,Turbofan,350,14800,11.92,4431.09,13,Kuzey Amerika,664772815.94
Airbus A320,2013,2,Turbofan,180,6300,2.12,4313.1,10,Afrika,127359511.82
Boeing 737,1998,2,Turbofan,162,5700,13.79,2313.01,25,Afrika,65345920.77
Airbus A350,2023,2,Turbofan,350,14800,6.52,2883.4,0,Kuzey Amerika,868782446.38
Cessna 172,2023,1,Piston,4,1285,36.22,2842.34,0,Asya,497948.75
Boeing 737,2014,2,Turbofan,162,5700,4.01,4375.55,9,Avustralya,97525489.68
Boeing 777,2007,2,Turbofan,396,15600,7.3,2531.96,16,Güney Amerika,481400767.87
Bombardier CRJ200,1997,2,Turbofan,50,3000,13.41,3381.13,26,Kuzey Amerika,13067644.79
Boeing 777,1997,2,Turbofan,396,15600,13.84,2381.59,26,Asya,445367295.47
Boeing 777,2021,2,Turbofan,396,15600,9.86,591.81,2,Güney Amerika,764026006.28
Airbus A350,2009,2,Turbofan,350,14800,13.21,1746.61,14,Avustralya,588485737.85
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.88,3533.99,28,Avustralya,10707929.91
Bombardier CRJ200,2017,2,Turbofan,50,3000,7.32,656.6,6,Avrupa,23143550.69
Cessna 172,2001,1,Piston,4,1285,28.28,4101.64,22,Avustralya,224811.04
Bombardier CRJ200,1991,2,Turbofan,50,3000,9.86,3229.31,32,Kuzey Amerika,11734333.12
Cessna 172,1980,1,Piston,4,1285,20.6,1739.51,43,Avustralya,240001.69
Boeing 737,1984,2,Turbofan,162,5700,7.84,2912.87,39,Asya,57976932.64
Airbus A350,1986,2,Turbofan,350,14800,4.78,3733.72,37,Güney Amerika,367605483.28
Boeing 737,2023,2,Turbofan,162,5700,7.37,1386.29,0,Afrika,132525006.97
Boeing 777,1994,2,Turbofan,396,15600,7.84,2171.59,29,Avustralya,340578446.98
Boeing 777,1996,2,Turbofan,396,15600,4.65,2917.26,27,Avrupa,319474619.03
Boeing 737,1981,2,Turbofan,162,5700,8.47,660.25,42,Güney Amerika,54060414.96
Boeing 737,1983,2,Turbofan,162,5700,9.26,2993.76,40,Güney Amerika,57951912.92
Bombardier CRJ200,1993,2,Turbofan,50,3000,12.54,1635.0,30,Güney Amerika,12747743.67
Bombardier CRJ200,1987,2,Turbofan,50,3000,3.77,4762.27,36,Avustralya,10269133.59
Boeing 737,1985,2,Turbofan,162,5700,6.23,770.33,38,Güney Amerika,63381679.38
Airbus A320,2004,2,Turbofan,180,6300,11.23,1146.59,19,Avustralya,85973787.13
Bombardier CRJ200,2016,2,Turbofan,50,3000,12.51,541.59,7,Avrupa,20995554.42
